Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-487493.469821726,1,54000,32400
3600,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-422718.469821726,1,54000,36000
7200,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-390716.669821726,1,57600,39600
10800,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-391651.469821726,1,61200,32400
14400,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-393261.069821726,1,50400,39600
18000,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-368203.094615115,1,54000,43200
21600,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,149999.475340038,1,64800,28800
25200,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,573548.267626539,1,50400,25200
28800,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,587281.408673372,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-105606.886112733,-0,1,1,302276.359196789,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,184480.251593482,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0.00013371908244153,1,1,202122.300113243,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,161944.038260149,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,166568.391330122,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,142422.703863455,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,168872.572800094,1,NaN,NaN
57600,1,1,1,1,1,-68029.7408269914,0,-312500,-0,1,1,213703.883852802,1,NaN,NaN
61200,1,1,1,1,1,105166.808450119,0,152873.79239453,-0,1,1,194861.13346676,1,NaN,NaN
64800,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-73473.8089952791,1,NaN,NaN
68400,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,51769.8443380543,1,NaN,NaN
72000,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-59336.707948448,1,NaN,NaN
75600,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-238530.974615115,1,NaN,NaN
79200,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-305287.361281781,1,NaN,NaN
82800,1,1,1,1,1,131275.923748035,0,152873.79239453,-0,1,1,-425848.448885087,1,NaN,NaN
